Elitism_ratio_A-n32-k5,Elitism_ratio_A-n46-k7,Elitism_ratio_A-n80-k10,Elitism_ratio_B-n50-k8,Elitism_ratio_B-n78-k10,Mutation_ratio_A-n32-k5,Mutation_ratio_A-n46-k7,Mutation_ratio_A-n80-k10,Mutation_ratio_B-n50-k8,Mutation_ratio_B-n78-k10,Crossover_bias_A-n32-k5,Crossover_bias_A-n46-k7,Crossover_bias_A-n80-k10,Crossover_bias_B-n50-k8,Crossover_bias_B-n78-k10,Media_objetivo_A-n32-k5,Media_objetivo_A-n46-k7,Media_objetivo_A-n80-k10,Media_objetivo_B-n50-k8,Media_objetivo_B-n78-k10,Desvio_padrao_A-n32-k5,Desvio_padrao_A-n46-k7,Desvio_padrao_A-n80-k10,Desvio_padrao_B-n50-k8,Desvio_padrao_B-n78-k10
0.2,0.3,0.3,0.3,0.3,0.125,0.15,0.15,0.15,0.15,0.7,0.5,0.5,0.5,0.6,784.2,922.9,1814.8,1320.1,1255.3,0.421637021355784,4.48330235429198,18.1034066775658,4.72463990397387,15.3698839726698
0.1,0.3,0.3,0.2,0.5,0.15,0.2,0.3,0.2,0.3,0.6,0.6,0.5,0.6,0.5,784.2,923.0,1821.4,1320.5,1256.4,0.632455532033676,4.54606056566195,15.9317990893126,5.23343948936919,13.251415018782
0.2,0.3,0.1,0.5,0.3,0.4,0.125,0.15,0.3,0.125,0.7,0.5,0.5,0.5,0.6,784.5,923.6,1821.7,1320.9,1259.4,0.707106781186548,5.87272414547873,25.9916653307684,4.9766119666563,15.6148077869125
0.3,0.5,0.5,0.3,0.2,0.4,0.3,0.1,0.2,0.1,0.5,0.5,0.5,0.5,0.6,784.5,923.7,1822.1,1321.3,1259.6,0.707106781186548,5.25039681040078,21.299191429619,4.62000481000231,16.8865495455867
0.5,0.5,0.5,0.5,0.3,0.15,0.15,0.15,0.15,0.1,0.6,0.5,0.5,0.6,0.5,784.6,924.5,1822.8,1321.7,1260.5,0.699205898780101,8.91004426974911,20.1152236433558,5.20789998197183,14.0336896233473
0.5,0.5,0.2,0.2,0.5,0.3,0.125,0.15,0.3,0.2,0.6,0.7,0.5,0.5,0.5,784.7,925.0,1823.6,1322.0,1261.5,0.823272602348565,5.94418483337567,14.2220486100515,3.19722101554181,19.5177981453965
0.3,0.5,0.5,0.5,0.2,0.125,0.125,0.4,0.15,0.2,0.5,0.6,0.6,0.5,0.6,784.8,926.4,1823.7,1322.1,1261.7,0.788810637746616,11.9368709840095,17.2114303105039,3.95671019352638,17.5312419538504
0.2,0.5,0.2,0.5,0.1,0.1,0.1,0.3,0.125,0.125,0.75,0.6,0.5,0.6,0.5,784.8,926.7,1825.0,1322.1,1261.9,0.918936583472682,10.0116598690394,19.3160842592672,4.06748625620843,13.4035650315711
0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.125,0.2,0.2,0.6,0.6,0.5,0.6,0.7,785.1,926.8,1825.9,1322.2,1262.3,0.737864787372622,10.3150375665821,15.35831298606,5.41192099802731,13.7844517885591
0.5,0.2,0.3,0.3,0.5,0.4,0.1,0.15,0.4,0.1,0.7,0.6,0.6,0.7,0.5,785.1,926.8,1826.1,1322.3,1263.5,0.737864787372622,11.1534747948789,21.9719518174118,5.14349643292922,14.073221221723
